START OF LOG
client on port 44053
background bot mode
OK message received: OK B
GRID message received: GRID 22 80
GOLD message received: GOLD 0 0 250
GOLD message received: GOLD 0 0 250
GOLD message received: GOLD 0 0 250
GOLD message received: GOLD 0 0 250
GOLD message received: GOLD 0 0 250
GOLD message received: GOLD 0 0 250
GOLD message received: GOLD 0 0 250
GOLD message received: GOLD 0 0 241
GOLD message received: GOLD 0 0 241
GOLD message received: GOLD 0 0 241
GOLD message received: GOLD 0 0 241
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 204
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 182
GOLD message received: GOLD 0 0 168
GOLD message received: GOLD 0 0 153
GOLD message received: GOLD 0 0 141
GOLD message received: GOLD 0 0 130
GOLD message received: GOLD 0 0 117
GOLD message received: GOLD 0 0 106
GOLD message received: GOLD 0 0 94
GOLD message received: GOLD 0 0 84
GOLD message received: GOLD 0 0 71
GOLD message received: GOLD 0 0 60
