START OF LOG
client on port 55327
background bot mode
OK message received: OK G
GRID message received: GRID 22 80
GOLD message received: GOLD 0 0 250
GOLD message received: GOLD 0 0 250
GOLD message received: GOLD 0 0 241
GOLD message received: GOLD 0 0 241
GOLD message received: GOLD 0 0 241
GOLD message received: GOLD 0 0 241
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 204
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 182
GOLD message received: GOLD 12 12 182
GOLD message received: GOLD 0 12 168
GOLD message received: GOLD 0 12 153
GOLD message received: GOLD 0 12 141
GOLD message received: GOLD 0 12 130
GOLD message received: GOLD 0 12 117
GOLD message received: GOLD 0 12 106
GOLD message received: GOLD 0 12 94
GOLD message received: GOLD 0 12 84
GOLD message received: GOLD 0 12 71
GOLD message received: GOLD 0 12 60
