START OF LOG
client on port 42794
background bot mode
OK message received: OK H
GRID message received: GRID 22 80
GOLD message received: GOLD 0 0 250
GOLD message received: GOLD 0 0 241
GOLD message received: GOLD 9 9 241
GOLD message received: GOLD 0 9 241
GOLD message received: GOLD 0 9 241
GOLD message received: GOLD 0 9 241
GOLD message received: GOLD 0 9 228
GOLD message received: GOLD 0 9 228
GOLD message received: GOLD 0 9 228
GOLD message received: GOLD 0 9 228
GOLD message received: GOLD 0 9 228
GOLD message received: GOLD 0 9 228
GOLD message received: GOLD 0 9 215
GOLD message received: GOLD 0 9 215
GOLD message received: GOLD 0 9 215
GOLD message received: GOLD 0 9 215
GOLD message received: GOLD 0 9 215
GOLD message received: GOLD 0 9 215
GOLD message received: GOLD 0 9 215
GOLD message received: GOLD 0 9 204
GOLD message received: GOLD 0 9 194
GOLD message received: GOLD 0 9 194
GOLD message received: GOLD 0 9 194
GOLD message received: GOLD 0 9 194
GOLD message received: GOLD 0 9 194
GOLD message received: GOLD 0 9 194
GOLD message received: GOLD 0 9 182
GOLD message received: GOLD 0 9 168
GOLD message received: GOLD 0 9 153
GOLD message received: GOLD 0 9 141
GOLD message received: GOLD 0 9 130
GOLD message received: GOLD 0 9 117
GOLD message received: GOLD 0 9 106
GOLD message received: GOLD 0 9 94
GOLD message received: GOLD 0 9 84
GOLD message received: GOLD 0 9 71
GOLD message received: GOLD 0 9 60
