START OF LOG
client on port 51437
background bot mode
OK message received: OK J
GRID message received: GRID 22 80
GOLD message received: GOLD 0 0 241
GOLD message received: GOLD 0 0 241
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 204
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 182
GOLD message received: GOLD 0 0 168
GOLD message received: GOLD 14 14 168
GOLD message received: GOLD 0 14 153
GOLD message received: GOLD 0 14 141
GOLD message received: GOLD 0 14 130
GOLD message received: GOLD 0 14 117
GOLD message received: GOLD 0 14 106
GOLD message received: GOLD 0 14 94
GOLD message received: GOLD 0 14 84
GOLD message received: GOLD 0 14 71
GOLD message received: GOLD 0 14 60
