START OF LOG
client on port 45269
background bot mode
OK message received: OK K
GRID message received: GRID 22 80
GOLD message received: GOLD 0 0 241
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 13 13 228
GOLD message received: GOLD 0 13 228
GOLD message received: GOLD 0 13 228
GOLD message received: GOLD 0 13 228
GOLD message received: GOLD 0 13 228
GOLD message received: GOLD 0 13 228
GOLD message received: GOLD 0 13 215
GOLD message received: GOLD 0 13 215
GOLD message received: GOLD 0 13 215
GOLD message received: GOLD 0 13 215
GOLD message received: GOLD 0 13 215
GOLD message received: GOLD 0 13 215
GOLD message received: GOLD 0 13 215
GOLD message received: GOLD 0 13 204
GOLD message received: GOLD 0 13 194
GOLD message received: GOLD 0 13 194
GOLD message received: GOLD 0 13 194
GOLD message received: GOLD 0 13 194
GOLD message received: GOLD 0 13 194
GOLD message received: GOLD 0 13 194
GOLD message received: GOLD 0 13 182
GOLD message received: GOLD 0 13 168
GOLD message received: GOLD 0 13 153
GOLD message received: GOLD 0 13 141
GOLD message received: GOLD 0 13 130
GOLD message received: GOLD 0 13 117
GOLD message received: GOLD 13 26 117
GOLD message received: GOLD 0 26 106
GOLD message received: GOLD 0 26 94
GOLD message received: GOLD 0 26 84
GOLD message received: GOLD 0 26 71
GOLD message received: GOLD 0 26 60
