START OF LOG
client on port 51584
background bot mode
OK message received: OK O
GRID message received: GRID 22 80
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 204
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 182
GOLD message received: GOLD 0 0 168
GOLD message received: GOLD 0 0 153
GOLD message received: GOLD 0 0 141
GOLD message received: GOLD 0 0 130
GOLD message received: GOLD 0 0 117
GOLD message received: GOLD 0 0 106
GOLD message received: GOLD 11 11 106
GOLD message received: GOLD 0 11 94
GOLD message received: GOLD 0 11 84
GOLD message received: GOLD 0 11 71
GOLD message received: GOLD 0 11 60
