START OF LOG
client on port 38662
background bot mode
OK message received: OK P
GRID message received: GRID 22 80
GOLD message received: GOLD 0 0 228
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 13 13 215
GOLD message received: GOLD 0 13 215
GOLD message received: GOLD 0 13 215
GOLD message received: GOLD 0 13 215
GOLD message received: GOLD 0 13 215
GOLD message received: GOLD 0 13 215
GOLD message received: GOLD 0 13 215
GOLD message received: GOLD 0 13 204
GOLD message received: GOLD 0 13 194
GOLD message received: GOLD 0 13 194
GOLD message received: GOLD 0 13 194
GOLD message received: GOLD 0 13 194
GOLD message received: GOLD 0 13 194
GOLD message received: GOLD 0 13 194
GOLD message received: GOLD 0 13 182
GOLD message received: GOLD 0 13 168
GOLD message received: GOLD 0 13 153
GOLD message received: GOLD 0 13 141
GOLD message received: GOLD 0 13 130
GOLD message received: GOLD 11 24 130
GOLD message received: GOLD 0 24 117
GOLD message received: GOLD 0 24 106
GOLD message received: GOLD 0 24 94
GOLD message received: GOLD 0 24 84
GOLD message received: GOLD 0 24 71
GOLD message received: GOLD 0 24 60
