START OF LOG
client on port 52336
background bot mode
OK message received: OK U
GRID message received: GRID 22 80
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 204
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 182
GOLD message received: GOLD 0 0 168
GOLD message received: GOLD 0 0 153
GOLD message received: GOLD 15 15 153
GOLD message received: GOLD 0 15 141
GOLD message received: GOLD 0 15 130
GOLD message received: GOLD 0 15 117
GOLD message received: GOLD 0 15 106
GOLD message received: GOLD 0 15 94
GOLD message received: GOLD 0 15 84
GOLD message received: GOLD 0 15 71
GOLD message received: GOLD 0 15 60
