START OF LOG
client on port 51338
background bot mode
OK message received: OK V
GRID message received: GRID 22 80
GOLD message received: GOLD 0 0 215
GOLD message received: GOLD 0 0 204
GOLD message received: GOLD 11 11 204
GOLD message received: GOLD 0 11 194
GOLD message received: GOLD 10 21 194
GOLD message received: GOLD 0 21 194
GOLD message received: GOLD 0 21 194
GOLD message received: GOLD 0 21 194
GOLD message received: GOLD 0 21 194
GOLD message received: GOLD 0 21 194
GOLD message received: GOLD 0 21 182
GOLD message received: GOLD 0 21 168
GOLD message received: GOLD 0 21 153
GOLD message received: GOLD 0 21 141
GOLD message received: GOLD 0 21 130
GOLD message received: GOLD 0 21 117
GOLD message received: GOLD 0 21 106
GOLD message received: GOLD 0 21 94
GOLD message received: GOLD 0 21 84
GOLD message received: GOLD 0 21 71
GOLD message received: GOLD 0 21 60
