START OF LOG
client on port 47026
background bot mode
OK message received: OK Z
GRID message received: GRID 22 80
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 194
GOLD message received: GOLD 0 0 182
GOLD message received: GOLD 0 0 168
GOLD message received: GOLD 0 0 153
GOLD message received: GOLD 0 0 141
GOLD message received: GOLD 0 0 130
GOLD message received: GOLD 0 0 117
GOLD message received: GOLD 0 0 106
GOLD message received: GOLD 0 0 94
GOLD message received: GOLD 0 0 84
GOLD message received: GOLD 0 0 71
GOLD message received: GOLD 0 0 60
